ENCUESTA MENSUAL MANUFACTURERA;;;;;;;;;;
10. Series de indices enlazados  de la produccion nominal y real,  ventas nominal y real  y empleo (total y por area funcional),  segun clase industrial;;;;;;;;;;
Enero 2001  - Octubre 2023p;;;;;;;;;;
Base 2018=100;;;;;;;;;;
Fecha de publicacion Diciembre 15 de 2023;;;;;;;;;;
Fuente. DANE - EMMET;;;;;;;;;;
p: provisionales;;;;;;;;;;
a) agrupa los dominios 1030, 1082 y 1089 ;;;;;;;;;;
b) agrupa los dominios 1300 y 1400;;;;;;;;;;
c) No incluye la mezcla de combustibles;;;;;;;;;;
d) agrupa los dominios 2020, 2023 y 2100;;;;;;;;;;
e) agrupa los dominios 1050 y 1090;;;;;;;;;;
Nota: La diferencia entre el total y la suma de los dominios  se debe a aproximaciones decimales.;;;;;;;;;;
Nota: Se presentan cambios por actualización de información de parte de las fuentes informantes;;;;;;;;;;
Dominios;YEAR;MES ;Clases industriales;Produccion nominal;Produccion real;Ventas nominal;Ventas reales;Empleo  Total;Personal de Administracion;Personal de Produccion
1010;2007;4;Procesamiento y conservacion de carne, pescado,y sus productos;40,2;54,1;45,6;61,2;83,1;88,4;81,5
1010;2007;5;Procesamiento y conservacion de carne, pescado,y sus productos;46,2;62;51,9;69,3;83,1;87,4;81,8
1010;2007;6;Procesamiento y conservacion de carne, pescado,y sus productos;45,6;61,2;52,7;70,4;80,7;93;77,4
1010;2007;7;Procesamiento y conservacion de carne, pescado,y sus productos;44,3;59,8;50,4;67,9;83,2;87,6;82
1010;2007;8;Procesamiento y conservacion de carne, pescado,y sus productos;49,3;67,2;54,4;73,6;89,2;91,5;88,3
1010;2007;9;Procesamiento y conservacion de carne, pescado,y sus productos;43,8;60,5;52,2;72,1;90;90,7;89,5
1010;2007;10;Procesamiento y conservacion de carne, pescado,y sus productos;48,9;68,3;54,1;75,4;89,4;90,6;88,8
1010;2007;11;Procesamiento y conservacion de carne, pescado,y sus productos;53,7;75,6;58;81,6;95,8;91,2;97
1010;2007;12;Procesamiento y conservacion de carne, pescado,y sus productos;52,9;74,3;66;92,3;92,1;97,3;90,7
1010;2008;1;Procesamiento y conservacion de carne, pescado,y sus productos;47,8;64,8;52,7;71,5;89,3;93,5;88
1010;2008;2;Procesamiento y conservacion de carne, pescado,y sus productos;46,1;61,8;53,2;71,1;90,3;90,9;89,9
1010;2008;3;Procesamiento y conservacion de carne, pescado,y sus productos;45,5;59,9;50,5;66,6;85,4;88,7;84,3
1010;2008;4;Procesamiento y conservacion de carne, pescado,y sus productos;51,9;69;56,4;74,8;93,9;89,9;94,7
